,Código IBGE do Município,Nome da Mesoregião,Sigla da Unidade da Federação,Nome das Grandes Regiões
133,231025,Norte Cearense,CE,Nordeste
134,231030,Sertões Cearenses,CE,Nordeste
135,231040,Norte Cearense,CE,Nordeste
136,231050,Sertões Cearenses,CE,Nordeste
137,231060,Sul Cearense,CE,Nordeste
138,231070,Norte Cearense,CE,Nordeste
139,231080,Jaguaribe,CE,Nordeste
140,231085,Norte Cearense,CE,Nordeste
141,231090,Sertões Cearenses,CE,Nordeste
142,231095,Noroeste Cearense,CE,Nordeste
143,231100,Noroeste Cearense,CE,Nordeste
144,231110,Sul Cearense,CE,Nordeste
145,231120,Sul Cearense,CE,Nordeste
146,231123,Jaguaribe,CE,Nordeste
147,231126,Sertões Cearenses,CE,Nordeste
148,231130,Sertões Cearenses,CE,Nordeste
149,231135,Centro-Sul Cearense,CE,Nordeste
150,231140,Sertões Cearenses,CE,Nordeste
151,231150,Jaguaribe,CE,Nordeste
152,231160,Norte Cearense,CE,Nordeste
153,231170,Noroeste Cearense,CE,Nordeste
154,231180,Jaguaribe,CE,Nordeste
155,231190,Sertões Cearenses,CE,Nordeste
156,231195,Sul Cearense,CE,Nordeste
157,231200,Noroeste Cearense,CE,Nordeste
158,231210,Sul Cearense,CE,Nordeste
159,231220,Noroeste Cearense,CE,Nordeste
160,231230,Noroeste Cearense,CE,Nordeste
161,231240,Norte Cearense,CE,Nordeste
162,231250,Jaguaribe,CE,Nordeste
163,231260,Norte Cearense,CE,Nordeste
164,231270,Sertões Cearenses,CE,Nordeste
165,231280,Noroeste Cearense,CE,Nordeste
166,231290,Noroeste Cearense,CE,Nordeste
167,231300,Sertões Cearenses,CE,Nordeste
168,231310,Jaguaribe,CE,Nordeste
169,231320,Sertões Cearenses,CE,Nordeste
170,231325,Centro-Sul Cearense,CE,Nordeste
171,231330,Sertões Cearenses,CE,Nordeste
172,231335,Norte Cearense,CE,Nordeste
173,231340,Noroeste Cearense,CE,Nordeste
174,231350,Norte Cearense,CE,Nordeste
175,231355,Norte Cearense,CE,Nordeste
176,231360,Noroeste Cearense,CE,Nordeste
177,231370,Centro-Sul Cearense,CE,Nordeste
178,231375,Norte Cearense,CE,Nordeste
179,231380,Norte Cearense,CE,Nordeste
180,231390,Noroeste Cearense,CE,Nordeste
181,231395,Noroeste Cearense,CE,Nordeste
182,231400,Centro-Sul Cearense,CE,Nordeste
183,231410,Noroeste Cearense,CE,Nordeste
